Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.106427868445756,0.145639729120602,0.191167836670779,0,0,0,15.865948579379,0.425791793185375,-2.50159888909237E-19,8.80947352368975E-19,0.227325591684544,-1.0360921171599E-16,0.425791793185375,0,0,0,0,0,0,package://surg_bot_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.46818,-0.054545,-1.4186E-06,0,0,0,7.0612,0.1146,0.16994,-7.7719E-07,0.81277,-2.7169E-07,0.90345,0,0,0,0,0,0,package://surg_bot_description/meshes/Link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link1.STL,,Link1-1,Origin_Joint0,Axis_Joint0,Joint0,revolute,0.10643,-0.19117,0,1.5708,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
Link2,0.00032422,0.11973,1.1932E-07,0,0,0,1.1307,0.0054576,-1.9953E-05,3.5928E-09,0.0036384,-5.3272E-09,0.0045844,0,0,0,0,0,0,package://surg_bot_description/meshes/Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link2.STL,,Link2-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.8636,-0.37436,0,0,-1.5708,0,Link1,0,1,0,0,0,0,0,,,,,,,,
Link3,-0.076097,1.6976E-07,-0.0056434,0,0,0,1.2444,0.0057431,-5.3975E-09,3.6099E-05,0.0049115,-5.8177E-09,0.0039657,0,0,0,0,0,0,package://surg_bot_description/meshes/Link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link3.STL,,Link3-1,Origin_Joint2,Axis_Joint2,Joint2,continuous,-0.0508,0.127,0,0,0,0,Link2,1,0,0,,,,,,,,,,,,
Link4,-8.063E-15,-1.1102E-16,-0.4572,0,0,0,4.0976,0.24441,-3.6765E-35,-8.2378E-16,0.24441,-1.9484E-34,0.0072065,0,0,0,0,0,0,package://surg_bot_description/meshes/Link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link4.STL,,Link4-1,Origin_Joint4,Axis_Joint4,Joint3,continuous,-0.0762,0,-0.0508,0,0,3.1416,Link3,0,0,1,,,,,,,,,,,,
Link5,0.0040655,-1.6223E-09,-0.048287,0,0,0,0.28318,0.00044292,3.2676E-11,2.2201E-05,0.00050783,1.6453E-11,0.00056889,0,0,0,0,0,0,package://surg_bot_description/meshes/Link5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link5.STL,,Link5-1,Origin_Joint42,Axis_Joint42,Joint4,revolute,0,0,-0.8382,0,0,3.1416,Link4,0,0,1,0,0,0,0,,,,,,,,
Link6,0.23139,-0.01,-0.15837,0,0,0,0.46788,0.0030957,-4.6541E-19,0.0027323,0.0061092,6.769E-19,0.0030957,0,0,0,0,0,0,package://surg_bot_description/meshes/Link6.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link6.STL,,Link6-1,Origin_Joint5,,Joint5,continuous,0,0.01,0,0,0,0,Link5,0,0,0,,,,,,,,,,,,
Link7,0.024087,-0.018375,-0.013114,0,0,0,1.1659,0.0056192,-5.5561E-11,1.1617E-05,0.0032147,4.4319E-10,0.0030185,0,0,0,0,0,0,package://surg_bot_description/meshes/Link7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Link7.STL,,Link7-1,Origin_Joint6,,Joint6,continuous,0.34214,-0.028375,-0.41803,0,0,3.1416,Link6,0,0,0,,,,,,,,,,,,
Lamp,0.28275,-0.00459,-0.00031991,0,0,0,44.076,1.14,0.00042379,1.2264E-05,2.0156,0.00063168,1.0565,0,0,0,0,0,0,package://surg_bot_description/meshes/Lamp.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://surg_bot_description/meshes/Lamp.STL,,Link8-1,Origin_Joint7,Axis_Joint7,Joint7,revolute,0.044276,-0.018375,-0.014756,0,0,0,Link7,1,0,0,0,0,0,0,,,,,,,,
